accession	fonction	taille
AT1G04690	description:potassium	2380
AT1G04700	description:PB1	4861
AT1G04710	description:peroxisomal	2955
AT1G04730	description:P-loop	6070
AT1G04750	description:vesicle-associated	2185
AT1G04760	description:vesicle-associated	1826
AT1G04770	description:Tetratricopeptide	1575
AT1G04778		977
AT1G04780	description:Ankyrin	3240
AT1G04790	description:RING/U-box	3879
AT1G04800	description:glycine-rich	1026
AT1G04810	description:26S	5386
AT1G04820	description:tubulin	2463
AT1G04830	description:Ypt/Rab-GAP	3445
AT1G04840	description:Tetratricopeptide	2800
AT1G04850	description:ubiquitin-associated	3822
AT1G04860	description:ubiquitin-specific	4067
AT1G04870	description:protein	2587
AT1G04880	description:HMG	3404
AT1G04890	description:zein-binding	2217
AT1G04895		414
AT1G04900	description:NADH	4054
AT1G04910	description:O-fucosyltransferase	3510
AT1G04920	description:sucrose	4519
AT1G04930	description:hydroxyproline-rich	2762
AT1G04940	description:translocon	1648
AT1G04945	description:HIT-type	3864
AT1G04950	description:TATA	4445
AT1G04960	description:golgin	3096
AT1G04970	description:lipid-binding	2539
AT1G04980	description:PDI-like	2574
AT1G04985	description:triacylglycerol	2685
AT1G04990	description:Zinc	2792
AT1G05000	description:Phosphotyrosine	3330
AT1G05005	description:PPR	1008
AT1G05010	description:ethylene-forming	1833
AT1G05020	description:ENTH/ANTH/VHS	2608
AT1G05030	description:Major	3369
AT1G05035		1133
AT1G05040	description:UBA-like	1094
AT1G05055	description:ral	2270
AT1G05060	description:coiled-coil	1870
AT1G05065	description:CLAVATA3/ESR-RELATED	716
AT1G05070	description:transmembrane	1795
AT1G05080	description:F-box/RNI-like/FBD-like	1488
AT1G05085		682
AT1G05087	description:dentin	1065
AT1G05090	description:dentin	1636
AT1G05100	description:mitogen-activated	1340
AT1G05120	description:Helicase	4930
AT1G05136		140
AT1G05140	description:Peptidase	1513
AT1G05150	description:Calcium-binding	2960
AT1G05160	description:cytochrome	3627
AT1G05170	description:Galactosyltransferase	3274
AT1G05180	description:NAD(P)-binding	3839
AT1G05190	description:Ribosomal	1602
AT1G05200	description:glutamate	3966
AT1G05205	description:hexokinase-1	1238
AT1G05210	description:Transmembrane	1279
AT1G05220	description:Transmembrane	947
AT1G05230	description:homeodomain	5188
AT1G05240	description:Peroxidase	2745
AT1G05250	description:Peroxidase	1759
AT1G05260	description:Peroxidase	1717
AT1G05270	description:TraB	3126
AT1G05280	description:ERV-F	2772
AT1G05290	description:CCT	1410
AT1G05291	description:GPI	1084
AT1G05300	description:zinc	2922
AT1G05310	description:Pectin	2084
AT1G05320	description:myosin	4276
AT1G05330		687
AT1G05340	description:cysteine-rich	1139
AT1G05350	description:NAD(P)-binding	3731
AT1G05360	description:vacuole	2974
AT1G05370	description:Sec14p-like	3322
AT1G05380	description:Acyl-CoA	5809
AT1G05385	description:photosystem	1089
AT1G05400		1348
AT1G05410	description:CDPK	2423
AT1G05420	description:ovate	1039
AT1G05430		1870
AT1G05440	description:C-8	1933
AT1G05450	description:Bifunctional	1338
AT1G05460	description:P-loop	3886
AT1G05470	description:DNAse	4638
AT1G05490	description:chromatin	4985
AT1G05500	description:Calcium-dependent	4370
AT1G05510	description:naphthalene	1417
AT1G05520	description:Sec23/Sec24	5169
AT1G05530	description:UDP-glucosyl	1665
AT1G05540		1656
AT1G05550		2958
AT1G05560	description:UDP-glucosyltransferase	2135
AT1G05570	description:callose	12036
AT1G05575	description:transmembrane	709
AT1G05577	description:UPSTREAM	2046
AT1G05580	description:cation/H+	3568
AT1G05590	description:beta-hexosaminidase	2526
AT1G05600	description:Tetratricopeptide	1931
AT1G05610	description:ADP-glucose	2196
AT1G05615	description:B3	763
AT1G05620	description:uridine-ribohydrolase	2829
AT1G05630	description:Endonuclease/exonuclease/phosphatase	5139
AT1G05640	description:Ankyrin	2519
AT1G05650	description:Pectin	2177
AT1G05660	description:Pectin	2121
AT1G05670	description:Pentatricopeptide	3484
AT1G05675	description:UDP-Glycosyltransferase	1633
AT1G05680	description:Uridine	1836
AT1G05690	description:BTB	2624
AT1G05700	description:Leucine-rich	3741
AT1G05710	description:basic	2414
AT1G05720	description:selenoprotein	1520
AT1G05730	description:FAM136A-like	2032
AT1G05740	description:FAM136A-like	716
AT1G05750	description:Tetratricopeptide	3225
AT1G05760	description:Mannose-binding	800
AT1G05770	description:Mannose-binding	933
AT1G05780	description:Vacuolar	1962
AT1G05783		1131
AT1G05785	description:Got1/Sft2-like	2414
AT1G05790	description:lipase	4771
AT1G05800	description:alpha/beta-Hydrolases	1415
AT1G05805	description:basic	3290
AT1G05810	description:Rab	1267
AT1G05820	description:SIGNAL	4558
AT1G05830	description:trithorax-like	7749
AT1G05835	description:PHD	669
AT1G05840	description:Eukaryotic	3549
AT1G05850	description:Chitinase	2334
AT1G05860	description:INO80	2300
AT1G05870		1991
AT1G05880	description:RING/U-box	2910
AT1G05890	description:RING/U-box	5171
AT1G05894		1590
AT1G05900	description:endonuclease	2888
AT1G05910	description:cell	6499
AT1G05920	description:B3	1476
AT1G05930	description:B3	1515
AT1G05940	description:cationic	2890
AT1G05950		3269
AT1G05960	description:ARM	7492
AT1G05970	description:RNA-binding	1511
AT1G05990	description:EF	792
AT1G06000	description:UDP-Glycosyltransferase	1586
AT1G06010	description:basic	1653
AT1G06020	description:pfkB-like	1913
AT1G06030	description:pfkB-like	1476
AT1G06040	description:B-box	1643
AT1G06045		343
AT1G06050	description:ENHANCED	2084
AT1G06060	description:LisH	1920
AT1G06070	description:Basic-leucine	2929
AT1G06080	description:delta	2848
AT1G06090	description:Fatty	2992
AT1G06100	description:Fatty	1547
AT1G06110	description:SKP1/ASK-interacting	2319
AT1G06120	description:Fatty	1808
AT1G06130	description:glyoxalase	3181
AT1G06135	description:transmembrane	558
AT1G06137	description:transmembrane	415
AT1G06140	description:Pentatricopeptide	2225
AT1G06143	description:basic	1868
AT1G06148		2643
AT1G06150	description:basic	4741
AT1G06160	description:octadecanoid-responsive	1085
AT1G06170	description:basic	1913
AT1G06180	description:myb	1914
AT1G06190	description:Rho	1922
AT1G06200	description:Peptidase	2738
AT1G06210	description:ENTH/VHS/GAT	2108
AT1G06220	description:Ribosomal	4946
AT1G06225	description:CLAVATA3/ESR-RELATED	380
AT1G06230	description:global	3881
AT1G06240	description:diiron	2200
AT1G06250	description:alpha/beta-Hydrolases	1720
AT1G06260	description:Cysteine	1155
AT1G06270	description:Pentatricopeptide	1769
AT1G06280	description:LOB	642
AT1G06290	description:acyl-CoA	4070
AT1G06310	description:acyl-CoA	3745
AT1G06320		926
AT1G06330	description:Heavy	1200
AT1G06340	description:Plant	819
AT1G06350	description:Fatty	1614
AT1G06360	description:Fatty	1634
AT1G06380	description:Ribosomal	1310
AT1G06390	description:GSK3/SHAGGY-like	4104
AT1G06400	description:Ras-related	2284
AT1G06410	description:trehalose-phosphatase/synthase	4149
AT1G06420	description:DNA	1149
AT1G06430	description:FTSH	3131
AT1G06440	description:Ubiquitin	1908
AT1G06450	description:Polynucleotidyl	1379
AT1G06460	description:alpha-crystallin	2569
AT1G06470	description:Nucleotide/sugar	4605
AT1G06475	description:transmembrane	573
AT1G06490	description:glucan	10689
AT1G06500		1251
AT1G06510	description:forkhead-associated	1612
AT1G06515	description:transmembrane	1561
AT1G06520	description:glycerol-3-phosphate	2452
AT1G06530	description:Tropomyosin-like	1420
AT1G06540		2040
AT1G06550	description:ATP-dependent	3585
AT1G06560	description:NOL1/NOP2/sun	4391
AT1G06570	description:4-hydroxyphenylpyruvate	1444
AT1G06580	description:Pentatricopeptide	2277
AT1G06590	description:anaphase-promoting	8443
AT1G06620	description:2-oxoglutarate	1869
AT1G06630	description:F-box/RNI-like	3649
AT1G06640	description:2-oxoglutarate	2486
AT1G06645	description:2-oxoglutarate	1668
AT1G06650	description:2-oxoglutarate	1527
AT1G06660	description:aspartyl/glutamyl-tRNA(Asn/Gln)	3108
AT1G06670	description:nuclear	7245
AT1G06680	description:photosystem	1805
AT1G06690	description:NAD(P)-linked	2770
AT1G06700	description:Protein	3147
AT1G06710	description:Tetratricopeptide	3667
AT1G06720	description:P-loop	7039
AT1G06730	description:pfkB-like	2946
AT1G06740	description:MuDR	2637
AT1G06750	description:P-loop	2804
AT1G06760	description:winged-helix	1263
AT1G06770	description:DREB2A-interacting	3201
AT1G06780	description:galacturonosyltransferase	3820
AT1G06790	description:RNA	2265
AT1G06800	description:alpha/beta-Hydrolases	2269
AT1G06810	description:endonuclease/glycosyl	801
AT1G06820	description:carotenoid	3838
AT1G06830	description:Glutaredoxin	549
AT1G06840	description:Leucine-rich	5760
AT1G06850	description:basic	1701
AT1G06870	description:Peptidase	2474
AT1G06890	description:nodulin	3363
AT1G06900	description:Insulinase	5980
AT1G06910	description:TRF-like	2810
AT1G06920	description:ovate	1226
AT1G06923	description:transcription	900
AT1G06925	description:endonuclease/glycosyl	907
AT1G06930	description:TPRXL	1040
AT1G06950	description:translocon	5650
AT1G06960	description:RNA-binding	2020
AT1G06970	description:cation/hydrogen	3104
AT1G06980	description:6,7-dimethyl-8-ribityllumazine	1038
AT1G06990	description:GDSL-like	1810
AT1G07000	description:exocyst	2383
AT1G07010	description:Calcineurin-like	2358
AT1G07020		940
AT1G07025	description:Mitochondrial	500
AT1G07030	description:Mitochondrial	2405
AT1G07040	description:plant/protein	2468
AT1G07050	description:CCT	1686
AT1G07060		2049
AT1G07070	description:Ribosomal	1396
AT1G07080	description:Thioredoxin	2217
AT1G07090		1086
AT1G07110	description:fructose-2,6-bisphosphatase	6171
AT1G07120	description:CHUP1-like	1868
AT1G07130	description:Nucleic	957
AT1G07135	description:glycine-rich	907
AT1G07140	description:Pleckstrin	2157
AT1G07150	description:mitogen-activated	1717
AT1G07160	description:Protein	1919
AT1G07170	description:PHF5-like	1275
AT1G07175	description:alternative	1088
AT1G07180	description:alternative	2995
AT1G07190	description:Lon	164
AT1G07200	description:Double	4241
AT1G07210	description:Ribosomal	1766
AT1G07220	description:O-glucosyltransferase	2724
AT1G07230	description:non-specific	2837
AT1G07240	description:UDP-glucosyl	1899
AT1G07250	description:UDP-glucosyl	1849
AT1G07260	description:UDP-glucosyl	1763
AT1G07270	description:Cell	3573
AT1G07280	description:Tetratricopeptide	3454
AT1G07290	description:golgi	2980
AT1G07300	description:josephin	1482
AT1G07310	description:Calcium-dependent	1849
AT1G07320	description:ribosomal	1562
AT1G07330	description:dentin	3116
AT1G07340	description:sugar	2028
AT1G07350	description:RNA-binding	2793
AT1G07360	description:CCCH-type	2606
AT1G07370	description:proliferating	1516
AT1G07380	description:Neutral/alkaline	4487
AT1G07390	description:receptor	4927
AT1G07400	description:HSP20-like	857
AT1G07410	description:RAB	1494
AT1G07420	description:sterol	2947
AT1G07430	description:highly	2082
AT1G07440	description:NAD(P)-binding	1606
AT1G07450	description:NAD(P)-binding	1410
AT1G07460	description:Concanavalin	1018
AT1G07470	description:Transcription	3101
AT1G07473		923
AT1G07476		944
AT1G07480	description:Transcription	2702
AT1G07485		746
AT1G07490	description:ROTUNDIFOLIA	641
AT1G07500		265
AT1G07510	description:FTSH	7964
AT1G07520	description:GRAS	2849
AT1G07530	description:SCARECROW-like	2926
AT1G07540	description:TRF-like	3521
AT1G07550	description:Leucine-rich	4027
AT1G07560	description:Leucine-rich	3833
AT1G07570	description:Protein	2552
AT1G07590	description:Tetratricopeptide	2914
AT1G07600	description:metallothionein	417
AT1G07610	description:metallothionein	701
AT1G07615	description:GTP-binding	2116
AT1G07620	description:GTP-binding	2476
AT1G07630	description:pol-like	2884
AT1G07640	description:Dof-type	3382
AT1G07645	description:dessication-induced	999
AT1G07650	description:Leucine-rich	7044
AT1G07660	description:Histone	902
AT1G07670	description:endomembrane-type	4587
AT1G07680	description:transmembrane	1174
AT1G07690	description:transmembrane	1231
AT1G07700	description:Thioredoxin	1715
AT1G07705	description:NOT2	4602
AT1G07710	description:Ankyrin	2186
AT1G07720	description:3-ketoacyl-CoA	2097
AT1G07725	description:exocyst	2471
AT1G07730	description:Disease	1169
AT1G07740	description:Tetratricopeptide	3066
AT1G07745	description:DNA	2333
AT1G07747	description:Bifunctional	287
AT1G07750	description:RmlC-like	2057
AT1G07770	description:ribosomal	2380
AT1G07780	description:phosphoribosylanthranilate	2906
AT1G07790	description:Histone	852
AT1G07795	description:forkhead	824
AT1G07810	description:ER-type	4651
AT1G07820	description:Histone	977
AT1G07830	description:ribosomal	1677
AT1G07840	description:Sas10/Utp3/C1D	2683
AT1G07850	description:transferring	2520
AT1G07860	description:Serine/Threonine-kinase	520
AT1G07870	description:Protein	3284
AT1G07880	description:Protein	1962
AT1G07885		602
AT1G07890	description:ascorbate	2384
AT1G07900	description:LOB	1176
AT1G07901		152
AT1G07902		1222
AT1G07910	description:RNAligase	8609
AT1G07920	description:GTP	2550
AT1G07930	description:GTP	2633
AT1G07940	description:GTP	2592
AT1G07950	description:Surfeit	1436
AT1G07960	description:PDI-like	1978
AT1G07970	description:cytochrome	3588
AT1G07980	description:nuclear	1963
AT1G07985	description:Expressed	941
AT1G07990	description:SIT4	6243
AT1G08000	description:GATA	2486
AT1G08005	description:serine/threonine-protein	443
AT1G08010	description:GATA	2237
AT1G08030	description:tyrosylprotein	3918
AT1G08035		855
AT1G08040	description:trimethylguanosine	3455
AT1G08050	description:Zinc	2787
AT1G08060	description:ATP-dependent	9342
AT1G08065	description:alpha	1807
AT1G08070	description:Tetratricopeptide	2470
AT1G08080	description:alpha	1620
AT1G08090	description:nitrate	2299
AT1G08100	description:nitrate	1950
AT1G08110	description:lactoylglutathione	2569
AT1G08120	description:TP53-regulating	1046
AT1G08125	description:S-adenosyl-L-methionine-dependent	2720
AT1G08130	description:DNA	5283
AT1G08135	description:cation/H+	3048
AT1G08140	description:cation/H+	3294
AT1G08150	description:Cation/hydrogen	3037
AT1G08160	description:Late	1019
AT1G08165		867
AT1G08170	description:Histone	937
AT1G08180	description:cyclin-dependent	957
AT1G08190	description:vacuolar	6028
