accession	fonctionnelle	taille	reference
AT1TE50880	FALSE	125	.
AT1TE49565	FALSE	116	.
AT1TE55100	FALSE	2140	.
AT1TE18280	FALSE	126	.
AT1TE53570	FALSE	126	.
AT1TE47120	FALSE	41	.
AT1TE59175	FALSE	125	.
AT1TE72360	FALSE	126	.
AT1TE53070	FALSE	126	.
AT1TE79845	FALSE	126	.
AT1TE43295	FALSE	2147	.
AT1TE47620	FALSE	129	.
AT1TE75250	FALSE	28	.
AT1TE37140	FALSE	128	.
AT1TE40760	FALSE	128	.
AT1TE54695	FALSE	30	.
AT1TE43255	FALSE	125	.
AT1TE86430	FALSE	128	.
AT1TE52440	FALSE	123	.
AT1TE58080	FALSE	128	.
AT1TE71925	FALSE	126	.
AT1TE56950	FALSE	128	.
AT1TE43060	FALSE	41	.
AT1TE49505	FALSE	116	.
AT1TE37485	FALSE	125	.
AT1TE70990	FALSE	125	.
AT1TE66400	FALSE	121	.
AT1TE45835	FALSE	123	.
AT1TE43475	FALSE	112	.
AT1TE68770	FALSE	122	.
AT1TE64190	FALSE	97	.
AT1TE52235	FALSE	93	.
AT1TE73060	FALSE	123	.
AT1TE10550	FALSE	123	.
AT1TE41370	FALSE	91	.
AT1TE22460	FALSE	121	.
AT1TE13360	FALSE	115	.
AT1TE58820	FALSE	2136	.
AT1TE62135	FALSE	98	.
AT1TE63155	FALSE	104	.
AT1TE41295	FALSE	121	.
AT1TE42815	FALSE	123	.
AT1TE09705	FALSE	68	.
AT1TE42785	FALSE	35	.
AT1TE26410	FALSE	122	.
AT1TE63875	FALSE	115	.
AT1TE02460	FALSE	125	.
AT1TE18300	FALSE	24	.
AT1TE14330	FALSE	125	.
AT1TE49890	FALSE	88	.
AT1TE49645	FALSE	116	.
AT1TE84840	FALSE	125	.
AT1TE85280	FALSE	123	.
AT1TE58170	FALSE	57	.
AT1TE83495	FALSE	124	.
AT1TE60170	FALSE	57	.
AT1TE38845	FALSE	122	.
AT1TE92170	FALSE	124	.
AT1TE53265	FALSE	2132	.
AT1TE16320	FALSE	96	.
AT1TE67780	FALSE	93	.
AT1TE51665	FALSE	2150	.
AT1TE59425	FALSE	78	.
AT1TE35960	FALSE	38	.
AT1TE87760	FALSE	130	.
AT1TE81720	FALSE	125	.
AT1TE75420	FALSE	132	.
AT1TE45985	FALSE	132	.
AT1TE51460	FALSE	57	.
AT1TE55410	FALSE	130	.
AT1TE55525	FALSE	129	.
AT1TE56410	FALSE	25	.
AT1TE41285	FALSE	130	.
AT1TE46705	FALSE	35	.
AT1TE45925	FALSE	113	.
AT1TE83860	FALSE	131	.
AT1TE40970	FALSE	130	.
AT1TE65860	FALSE	24	.
AT1TE50940	FALSE	28	.
AT1TE37915	FALSE	130	.
AT1TE58520	FALSE	132	.
AT1TE35835	FALSE	133	.
AT1TE72160	FALSE	86	.
AT1TE69680	FALSE	57	.
AT1TE96435	FALSE	134	.
AT1TE45345	FALSE	132	.
AT1TE69785	FALSE	76	.
AT1TE81160	FALSE	134	.
AT1TE85990	FALSE	134	.
AT1TE51505	FALSE	82	.
AT1TE57880	FALSE	134	.
AT1TE95985	FALSE	132	.
AT1TE34475	FALSE	133	.
AT1TE54505	FALSE	133	.
AT1TE20910	FALSE	49	.
AT1TE53715	FALSE	133	.
AT1TE80820	FALSE	34	.
AT1TE63195	FALSE	133	.
AT1TE90320	FALSE	133	.
AT1TE50290	FALSE	146	.
AT1TE23620	FALSE	130	.
AT1TE49685	FALSE	31	.
AT1TE11810	FALSE	128	.
AT1TE80405	FALSE	130	.
AT1TE42765	FALSE	81	.
AT1TE41095	FALSE	130	.
AT1TE90575	FALSE	130	.
AT1TE02985	FALSE	128	.
AT1TE54165	FALSE	127	.
AT1TE56370	FALSE	127	.
AT1TE75310	FALSE	129	.
AT1TE44780	FALSE	127	.
AT1TE41530	FALSE	127	.
AT1TE72230	FALSE	130	.
AT1TE39140	FALSE	127	.
AT1TE25910	FALSE	127	.
AT1TE00020	FALSE	127	.
AT1TE35965	FALSE	129	.
AT1TE42435	FALSE	81	.
AT1TE65370	FALSE	128	.
AT1TE37975	FALSE	2155	.
AT1TE36160	FALSE	131	.
AT1TE65260	FALSE	131	.
AT1TE04620	FALSE	131	.
AT1TE50780	FALSE	131	.
AT1TE50320	FALSE	131	.
AT1TE52010	FALSE	2158	.
AT1TE73305	FALSE	133	.
AT1TE81085	FALSE	92	.
AT1TE04700	FALSE	131	.
AT1TE34455	FALSE	130	.
AT1TE74095	FALSE	130	.
AT1TE63720	FALSE	128	.
AT1TE39150	FALSE	129	.
AT1TE52895	FALSE	2158	.
AT1TE21830	FALSE	129	.
AT1TE53695	FALSE	129	.
AT1TE10930	FALSE	86	.
AT1TE40160	FALSE	146	.
AT1TE64435	FALSE	144	.
AT1TE83935	FALSE	160	.
AT1TE45135	FALSE	8908	.
AT1TE72015	FALSE	162	.
AT1TE80815	FALSE	162	.
AT1TE31200	FALSE	115	.
AT1TE53575	FALSE	160	.
AT1TE87255	FALSE	161	.
AT1TE04675	FALSE	160	.
AT1TE12725	FALSE	61	.
AT1TE36240	FALSE	115	.
AT1TE49680	FALSE	389	.
AT1TE40315	FALSE	162	.
AT1TE22855	FALSE	162	.
AT1TE16265	FALSE	162	.
AT1TE59555	FALSE	160	.
AT1TE64010	FALSE	163	.
AT1TE42420	FALSE	148	.
AT1TE53640	FALSE	163	.
AT1TE42350	FALSE	164	.
AT1TE30040	FALSE	162	.
AT1TE95620	FALSE	164	.
AT1TE90315	FALSE	162	.
AT1TE81605	FALSE	134	.
AT1TE80035	FALSE	2277	.
AT1TE64470	FALSE	164	.
AT1TE75775	FALSE	162	.
AT1TE44025	FALSE	164	.
AT1TE53340	FALSE	33	.
AT1TE71910	FALSE	162	.
AT1TE38525	FALSE	57	.
AT1TE54960	FALSE	164	.
AT1TE46715	FALSE	164	.
AT1TE50725	FALSE	162	.
AT1TE70960	FALSE	123	.
AT1TE40025	FALSE	110	.
AT1TE66060	FALSE	159	.
AT1TE88225	FALSE	159	.
AT1TE78760	FALSE	157	.
AT1TE53130	FALSE	20	.
AT1TE69270	FALSE	2250	.
AT1TE68600	FALSE	157	.
AT1TE80510	FALSE	160	.
AT1TE93285	FALSE	110	.
AT1TE01400	FALSE	157	.
AT1TE36620	FALSE	159	.
AT1TE39350	FALSE	157	.
AT1TE57700	FALSE	159	.
AT1TE52405	FALSE	159	.
AT1TE82670	FALSE	160	.
AT1TE89970	FALSE	66	.
AT1TE34160	FALSE	157	.
AT1TE23955	FALSE	159	.
AT1TE65530	FALSE	102	.
AT1TE79835	FALSE	87	.
AT1TE54980	FALSE	159	.
AT1TE72115	FALSE	144	.
AT1TE31410	FALSE	161	.
AT1TE65075	FALSE	159	.
AT1TE74570	FALSE	152	.
AT1TE52290	FALSE	159	.
AT1TE51495	FALSE	134	.
AT1TE57560	FALSE	2255	.
AT1TE07780	FALSE	159	.
AT1TE68750	FALSE	159	.
AT1TE65220	FALSE	161	.
AT1TE01390	FALSE	160	.
AT1TE23355	FALSE	160	.
AT1TE44850	FALSE	160	.
AT1TE56335	FALSE	158	.
AT1TE72860	FALSE	160	.
AT1TE46100	FALSE	160	.
AT1TE87040	FALSE	160	.
AT1TE96860	FALSE	159	.
AT1TE47195	FALSE	167	.
AT1TE68325	FALSE	52	.
AT1TE41975	FALSE	169	.
AT1TE40730	FALSE	167	.
AT1TE46595	FALSE	58	.
AT1TE44040	FALSE	169	.
AT1TE41890	FALSE	169	.
AT1TE43675	FALSE	142	.
AT1TE16580	FALSE	169	.
AT1TE54570	FALSE	167	.
AT1TE04725	FALSE	169	.
AT1TE51930	FALSE	169	.
AT1TE47570	FALSE	2291	.
AT1TE74360	FALSE	169	.
AT1TE22755	FALSE	111	.
AT1TE50315	FALSE	8923	.
AT1TE55460	FALSE	77	.
AT1TE16505	FALSE	169	.
AT1TE15660	FALSE	167	.
AT1TE78110	FALSE	169	.
AT1TE01905	FALSE	83	.
AT1TE78200	FALSE	122	.
AT1TE72550	FALSE	168	.
AT1TE55440	FALSE	21	.
AT1TE44800	FALSE	169	.
AT1TE31585	FALSE	48	.
AT1TE40785	FALSE	96	.
AT1TE35600	FALSE	101	.
AT1TE84750	FALSE	168	.
AT1TE60195	FALSE	169	.
AT1TE51380	FALSE	50	.
AT1TE38905	FALSE	169	.
AT1TE52570	FALSE	2296	.
AT1TE55330	FALSE	168	.
AT1TE43335	FALSE	170	.
AT1TE47000	FALSE	168	.
AT1TE38955	FALSE	169	.
AT1TE53170	FALSE	2291	.
AT1TE63190	FALSE	168	.
AT1TE41075	FALSE	166	.
AT1TE78180	FALSE	166	.
AT1TE55085	FALSE	164	.
AT1TE72490	FALSE	164	.
AT1TE53885	FALSE	166	.
AT1TE02465	FALSE	2286	.
AT1TE58185	FALSE	105	.
AT1TE79760	FALSE	164	.
AT1TE65705	FALSE	165	.
AT1TE73025	FALSE	36	.
AT1TE50395	FALSE	122	.
AT1TE67440	FALSE	166	.
AT1TE65820	FALSE	155	.
AT1TE54360	FALSE	163	.
AT1TE50845	FALSE	122	.
AT1TE78740	FALSE	163	.
AT1TE69865	FALSE	702	.
AT1TE46005	FALSE	165	.
AT1TE70150	FALSE	165	.
AT1TE45370	FALSE	166	.
AT1TE45695	FALSE	2295	.
AT1TE42470	FALSE	166	.
AT1TE37280	FALSE	101	.
AT1TE07970	FALSE	168	.
AT1TE51290	FALSE	145	.
AT1TE52275	FALSE	166	.
AT1TE62960	FALSE	168	.
AT1TE54565	FALSE	44	.
AT1TE52085	FALSE	2285	.
AT1TE43915	FALSE	165	.
AT1TE50775	FALSE	8923	.
AT1TE39985	FALSE	163	.
AT1TE75010	FALSE	167	.
AT1TE45270	FALSE	155	.
AT1TE37685	FALSE	165	.
AT1TE79630	FALSE	158	.
AT1TE76830	FALSE	156	.
AT1TE17315	FALSE	158	.
AT1TE81350	FALSE	148	.
AT1TE75780	FALSE	2220	.
AT1TE44000	FALSE	150	.
AT1TE42495	FALSE	150	.
AT1TE39725	FALSE	121	.
AT1TE38455	FALSE	150	.
AT1TE38600	FALSE	148	.
AT1TE61105	FALSE	85	.
AT1TE26660	FALSE	148	.
AT1TE70205	FALSE	149	.
AT1TE46075	FALSE	149	.
AT1TE01745	FALSE	148	.
AT1TE77795	FALSE	150	.
AT1TE54055	FALSE	148	.
AT1TE61635	FALSE	103	.
AT1TE37220	FALSE	148	.
AT1TE36690	FALSE	150	.
AT1TE78075	FALSE	150	.
AT1TE54700	FALSE	128	.
AT1TE53300	FALSE	2225	.
AT1TE60635	FALSE	152	.
AT1TE43940	FALSE	152	.
AT1TE41270	FALSE	152	.
AT1TE42265	FALSE	151	.
AT1TE36635	FALSE	149	.
AT1TE38135	FALSE	105	.
AT1TE40585	FALSE	94	.
AT1TE54545	FALSE	148	.
AT1TE54530	FALSE	148	.
AT1TE64310	FALSE	147	.
AT1TE70860	FALSE	150	.
AT1TE69970	FALSE	149	.
AT1TE42260	FALSE	28	.
AT1TE18950	FALSE	140	.
AT1TE53890	FALSE	149	.
AT1TE57665	FALSE	149	.
AT1TE21135	FALSE	149	.
AT1TE54640	FALSE	147	.
AT1TE03195	FALSE	31	.
AT1TE70630	FALSE	147	.
AT1TE35540	FALSE	128	.
AT1TE44330	FALSE	145	.
AT1TE31425	FALSE	147	.
AT1TE31575	FALSE	147	.
AT1TE47365	FALSE	2215	.
AT1TE47145	FALSE	2213	.
AT1TE57120	FALSE	144	.
AT1TE84970	FALSE	146	.
AT1TE19790	FALSE	29	.
AT1TE79870	FALSE	146	.
AT1TE71905	FALSE	146	.
AT1TE71840	FALSE	146	.
AT1TE72010	FALSE	146	.
AT1TE84355	FALSE	152	.
AT1TE06655	FALSE	147	.
AT1TE77505	FALSE	145	.
AT1TE84070	FALSE	2215	.
AT1TE86265	FALSE	148	.
AT1TE44355	FALSE	124	.
AT1TE54070	FALSE	147	.
AT1TE28580	FALSE	149	.
AT1TE13305	FALSE	33	.
AT1TE20030	FALSE	146	.
AT1TE20970	FALSE	148	.
AT1TE47605	FALSE	2217	.
AT1TE71955	FALSE	147	.
AT1TE72065	FALSE	147	.
AT1TE73435	FALSE	145	.
AT1TE21845	FALSE	61	.
AT1TE43890	FALSE	146	.
AT1TE42780	FALSE	148	.
AT1TE23650	FALSE	148	.
AT1TE66710	FALSE	150	.
AT1TE43935	FALSE	38	.
AT1TE39495	FALSE	152	.
AT1TE57280	FALSE	156	.
AT1TE41735	FALSE	2243	.
AT1TE43525	FALSE	70	.
AT1TE40965	FALSE	154	.
AT1TE36110	FALSE	156	.
AT1TE58530	FALSE	154	.
AT1TE51960	FALSE	2240	.
AT1TE86440	FALSE	82	.
AT1TE12525	FALSE	156	.
AT1TE53285	FALSE	155	.
AT1TE52565	FALSE	56	.
AT1TE01915	FALSE	128	.
AT1TE80870	FALSE	153	.
AT1TE42155	FALSE	156	.
AT1TE15890	FALSE	156	.
AT1TE63675	FALSE	155	.
AT1TE04660	FALSE	153	.
AT1TE16275	FALSE	156	.
AT1TE43055	FALSE	155	.
AT1TE64945	FALSE	158	.
AT1TE64145	FALSE	158	.
AT1TE40365	FALSE	156	.
AT1TE34430	FALSE	57	.
AT1TE96850	FALSE	158	.
AT1TE55885	FALSE	81	.
AT1TE00835	FALSE	23	.
AT1TE02160	FALSE	156	.
AT1TE53850	FALSE	144	.
AT1TE80800	FALSE	80	.
AT1TE54920	FALSE	157	.
AT1TE67480	FALSE	154	.
AT1TE52980	FALSE	155	.
AT1TE71670	FALSE	157	.
AT1TE58875	FALSE	150	.
AT1TE44510	FALSE	157	.
AT1TE30865	FALSE	94	.
AT1TE82740	FALSE	155	.
AT1TE56260	FALSE	2240	.
AT1TE43220	FALSE	151	.
AT1TE37075	FALSE	153	.
AT1TE35870	FALSE	153	.
AT1TE20310	FALSE	151	.
AT1TE53230	FALSE	153	.
AT1TE94320	FALSE	153	.
AT1TE23835	FALSE	153	.
AT1TE68755	FALSE	153	.
AT1TE33465	FALSE	153	.
AT1TE75320	FALSE	152	.
AT1TE18775	FALSE	150	.
AT1TE90080	FALSE	151	.
AT1TE78990	FALSE	150	.
AT1TE52675	FALSE	151	.
AT1TE80945	FALSE	34	.
AT1TE78410	FALSE	152	.
AT1TE17320	FALSE	153	.
AT1TE38760	FALSE	27	.
AT1TE11100	FALSE	152	.
AT1TE01615	FALSE	2237	.
AT1TE02470	FALSE	155	.
AT1TE24975	FALSE	155	.
AT1TE58605	FALSE	155	.
AT1TE45955	FALSE	2229	.
AT1TE71780	FALSE	153	.
AT1TE94300	FALSE	153	.
AT1TE57205	FALSE	154	.
AT1TE57430	FALSE	152	.
AT1TE11605	FALSE	154	.
AT1TE42650	FALSE	154	.
AT1TE36720	FALSE	147	.
AT1TE41385	FALSE	112	.
AT1TE45895	FALSE	2236	.
AT1TE61945	FALSE	154	.
AT1TE38360	FALSE	154	.
AT1TE51215	FALSE	2126	.
AT1TE51400	FALSE	35	.
AT1TE37920	FALSE	123	.
AT1TE56175	FALSE	88	.
AT1TE41595	FALSE	90	.
AT1TE38785	FALSE	39	.
AT1TE70770	FALSE	90	.
AT1TE15100	FALSE	41	.
AT1TE00470	FALSE	88	.
AT1TE86160	FALSE	26	.
AT1TE29080	FALSE	88	.
AT1TE34010	FALSE	39	.
AT1TE60200	FALSE	89	.
AT1TE51755	FALSE	77	.
AT1TE51220	FALSE	87	.
AT1TE81530	FALSE	65	.
AT1TE45185	FALSE	365	.
AT1TE02260	FALSE	88	.
AT1TE44545	FALSE	91	.
AT1TE51310	FALSE	824	.
AT1TE94210	FALSE	91	.
AT1TE58285	FALSE	92	.
AT1TE45540	FALSE	90	.
AT1TE40795	FALSE	92	.
AT1TE81805	FALSE	90	.
AT1TE60740	FALSE	2034	.
AT1TE80415	FALSE	92	.
AT1TE99340	FALSE	92	.
AT1TE67645	FALSE	2029	.
AT1TE67145	FALSE	89	.
AT1TE78215	FALSE	32	.
AT1TE47270	FALSE	89	.
AT1TE70700	FALSE	87	.
AT1TE47490	FALSE	89	.
AT1TE12305	FALSE	91	.
AT1TE67865	FALSE	91	.
AT1TE79555	FALSE	91	.
AT1TE71800	FALSE	21	.
AT1TE84245	FALSE	2024	.
AT1TE40890	FALSE	89	.
AT1TE69725	FALSE	68	.
AT1TE52950	FALSE	8534	.
AT1TE13370	FALSE	78	.
AT1TE58690	FALSE	88	.
AT1TE03865	FALSE	42	.
AT1TE67505	FALSE	39	.
AT1TE73200	FALSE	87	.
AT1TE64640	FALSE	87	.
AT1TE51860	FALSE	85	.
AT1TE36905	FALSE	87	.
AT1TE42860	FALSE	87	.
AT1TE40405	FALSE	86	.
AT1TE18270	FALSE	87	.
AT1TE60340	FALSE	87	.
AT1TE57470	FALSE	85	.
AT1TE25780	FALSE	85	.
AT1TE51890	FALSE	92	.
AT1TE37285	FALSE	33	.
AT1TE65160	FALSE	2020	.
AT1TE60785	FALSE	89	.
AT1TE51030	FALSE	89	.
AT1TE25180	FALSE	87	.
AT1TE19400	FALSE	89	.
AT1TE56080	FALSE	87	.
AT1TE25650	FALSE	83	.
AT1TE45340	FALSE	45	.
AT1TE63740	FALSE	65	.
AT1TE51935	FALSE	25	.
AT1TE82640	FALSE	2022	.
AT1TE37060	FALSE	86	.
AT1TE54710	FALSE	2017	.
AT1TE10605	FALSE	86	.
AT1TE56035	FALSE	81	.
AT1TE54935	FALSE	86	.
AT1TE69845	FALSE	56	.
AT1TE43000	FALSE	87	.
AT1TE46770	FALSE	2032	.
AT1TE11600	FALSE	92	.
AT1TE33350	FALSE	2047	.
AT1TE29065	FALSE	95	.
AT1TE98655	FALSE	97	.
AT1TE14080	FALSE	97	.
AT1TE52530	FALSE	95	.
AT1TE50920	FALSE	90	.
AT1TE76140	FALSE	66	.
AT1TE21480	FALSE	94	.
AT1TE36770	FALSE	96	.
AT1TE31740	FALSE	96	.
AT1TE77075	FALSE	94	.
AT1TE01530	FALSE	96	.
AT1TE94625	FALSE	96	.
AT1TE37620	FALSE	66	.
AT1TE71350	FALSE	94	.
AT1TE51015	FALSE	32	.
AT1TE58315	FALSE	96	.
AT1TE24250	FALSE	96	.
AT1TE43405	FALSE	98	.
AT1TE39715	FALSE	96	.
AT1TE61740	FALSE	88	.
AT1TE54615	FALSE	96	.
AT1TE46340	FALSE	96	.
AT1TE56305	FALSE	85	.
AT1TE64815	FALSE	43	.
AT1TE65900	FALSE	96	.
AT1TE67195	FALSE	96	.
AT1TE57635	FALSE	95	.
AT1TE56085	FALSE	98	.
AT1TE51195	FALSE	93	.
AT1TE46345	FALSE	22	.
AT1TE35315	FALSE	50	.
AT1TE66090	FALSE	2047	.
AT1TE39160	FALSE	98	.
AT1TE54065	FALSE	93	.
AT1TE95550	FALSE	93	.
AT1TE51625	FALSE	74	.
AT1TE39945	FALSE	93	.
AT1TE89070	FALSE	91	.
AT1TE45860	FALSE	2036	.
AT1TE41495	FALSE	91	.
AT1TE34175	FALSE	84	.
AT1TE50565	FALSE	48	.
AT1TE94340	FALSE	91	.
AT1TE23555	FALSE	45	.
AT1TE76530	FALSE	2035	.
AT1TE59000	FALSE	90	.
AT1TE57835	FALSE	65	.
AT1TE21795	FALSE	93	.
AT1TE74960	FALSE	90	.
AT1TE53610	FALSE	91	.
AT1TE66890	FALSE	93	.
AT1TE43960	FALSE	2035	.
AT1TE37130	FALSE	92	.
AT1TE12090	FALSE	91	.
AT1TE70795	FALSE	27	.
AT1TE47230	FALSE	577	.
AT1TE63980	FALSE	95	.
AT1TE22760	FALSE	95	.
AT1TE92150	FALSE	93	.
AT1TE54730	FALSE	93	.
AT1TE67015	FALSE	94	.
AT1TE47450	FALSE	577	.
AT1TE86170	FALSE	94	.
AT1TE40180	FALSE	85	.
AT1TE98925	FALSE	298	.
AT1TE12660	FALSE	94	.
AT1TE04220	FALSE	93	.
AT1TE44535	FALSE	2037	.
AT1TE57650	FALSE	92	.
AT1TE52720	FALSE	92	.
AT1TE60190	FALSE	94	.
AT1TE45580	FALSE	85	.
AT1TE53780	FALSE	30	.
AT1TE14325	FALSE	87	.
AT1TE00010	FALSE	80	.
AT1TE45175	FALSE	8513	.
AT1TE46390	FALSE	1992	.
AT1TE42985	FALSE	59	.
AT1TE33335	FALSE	77	.
AT1TE40350	FALSE	78	.
AT1TE33790	FALSE	78	.
AT1TE72375	FALSE	66	.
AT1TE11730	FALSE	78	.
AT1TE21790	FALSE	1992	.
AT1TE46780	FALSE	1991	.
AT1TE29760	FALSE	78	.
AT1TE27035	FALSE	78	.
AT1TE08430	FALSE	53	.
AT1TE53920	FALSE	39	.
AT1TE93325	FALSE	80	.
AT1TE19050	FALSE	80	.
AT1TE55130	FALSE	78	.
AT1TE69810	FALSE	37	.
AT1TE34320	FALSE	24	.
AT1TE35450	FALSE	79	.
AT1TE52625	FALSE	79	.
AT1TE50575	FALSE	1995	.
AT1TE07365	FALSE	79	.
AT1TE38320	FALSE	79	.
AT1TE58495	FALSE	71	.
AT1TE58225	FALSE	20	.
AT1TE81900	FALSE	80	.
AT1TE64480	FALSE	80	.
AT1TE59215	FALSE	59	.
AT1TE40575	FALSE	79	.
AT1TE67610	FALSE	81	.
AT1TE98895	FALSE	79	.
AT1TE10570	FALSE	79	.
AT1TE70810	FALSE	79	.
AT1TE56375	FALSE	79	.
AT1TE63795	FALSE	79	.
AT1TE39770	FALSE	77	.
AT1TE85050	FALSE	77	.
AT1TE62280	FALSE	75	.
AT1TE46990	FALSE	1978	.
AT1TE78700	FALSE	75	.
AT1TE82655	FALSE	77	.
AT1TE22705	FALSE	75	.
AT1TE21375	FALSE	46	.
AT1TE62470	FALSE	8508	.
AT1TE02550	FALSE	28	.
AT1TE32710	FALSE	74	.
AT1TE57410	FALSE	75	.
AT1TE20980	FALSE	74	.
AT1TE03835	FALSE	67	.
AT1TE48850	FALSE	1978	.
AT1TE57590	FALSE	74	.
AT1TE58745	FALSE	82	.
AT1TE53295	FALSE	75	.
AT1TE39015	FALSE	22	.
AT1TE40135	FALSE	77	.
AT1TE39200	FALSE	22	.
AT1TE37040	FALSE	37	.
AT1TE48725	FALSE	26	.
AT1TE41275	FALSE	77	.
AT1TE43005	FALSE	79	.
AT1TE52560	FALSE	68	.
AT1TE25690	FALSE	62	.
